bgc	BGC of	coculture	LFC
Fj_NC_009441.1_rn18	Fjoh	Pairwise with Pkor	1.307339186
Fj_NC_009441.1_rn19	Fjoh	Pairwise with Pkor	-0.358018936
Fj_NC_009441.1_rn20	Fjoh	Pairwise with Pkor	-1.117972862
Fj_NC_009441.1_rn21	Fjoh	Pairwise with Pkor	-1.090067117
Fj_NC_009441.1_rn22	Fjoh	Pairwise with Pkor	1.04995896
Fj_NC_009441.1_rn23	Fjoh	Pairwise with Pkor	0.173090367
Fj_NC_009441.1_rn24	Fjoh	Pairwise with Pkor	-0.02380964
Fj_NC_009441.1_rn25	Fjoh	Pairwise with Pkor	3.213288795
Fj_NC_009441.1_rn26	Fjoh	Pairwise with Pkor	0.626956368
Fj_NC_009441.1_rn27	Fjoh	Pairwise with Pkor	5.457774182
Fj_NC_009441.1_rn28	Fjoh	Pairwise with Pkor	-0.284825871
Fj_NC_009441.1_rn01	Fjoh	Three-member	0.3131636
Fj_NC_009441.1_rn02	Fjoh	Three-member	0.015688455
Fj_NC_009441.1_rn03	Fjoh	Three-member	-0.406513891
Fj_NC_009441.1_rn04	Fjoh	Three-member	-0.902547848
Fj_NC_009441.1_rn05	Fjoh	Three-member	-0.567259101
Fj_NC_009441.1_rn06	Fjoh	Three-member	-0.447408449
Fj_NC_009441.1_rn07	Fjoh	Three-member	-0.868982375
Fj_NC_009441.1_rn08	Fjoh	Three-member	0.462893367
Fj_NC_009441.1_rn09	Fjoh	Three-member	-1.777393528
Fj_NC_009441.1_rn10	Fjoh	Three-member	0.470612359
Fj_NC_009441.1_rn11	Fjoh	Three-member	-0.68317225
Fj_NC_009441.1_rn12	Fjoh	Three-member	-0.982192861
Fj_NC_009441.1_rn13	Fjoh	Three-member	-0.015688455
Fj_NC_009441.1_rn14	Fjoh	Three-member	0.027957387
Fj_NC_009441.1_rn15	Fjoh	Three-member	2.092779493
Fj_NC_009441.1_rn16	Fjoh	Three-member	0.739241074
Fj_NC_009441.1_rn17	Fjoh	Three-member	0.280894133
Fj_NC_009441.1_rn18	Fjoh	Three-member	0.78799635
Fj_NC_009441.1_rn19	Fjoh	Three-member	-0.268853134
Fj_NC_009441.1_rn20	Fjoh	Three-member	-0.967172621
Fj_NC_009441.1_rn21	Fjoh	Three-member	-1.045479524
Fj_NC_009441.1_rn22	Fjoh	Three-member	0.71008962
Fj_NC_009441.1_rn23	Fjoh	Three-member	0.054890981
Fj_NC_009441.1_rn24	Fjoh	Three-member	-0.106372033
Fj_NC_009441.1_rn25	Fjoh	Three-member	4.095921024
Fj_NC_009441.1_rn26	Fjoh	Three-member	0.663153913
Fj_NC_009441.1_rn27	Fjoh	Three-member	4.923057566
Fj_NC_009441.1_rn28	Fjoh	Three-member	-0.350404214
Pk_Ga0417193_01_rn01	Pkor	Pairwise with Bcer	-0.026195749
Pk_Ga0417193_01_rn02	Pkor	Pairwise with Bcer	-0.030659531
Pk_Ga0417193_01_rn03	Pkor	Pairwise with Bcer	-0.218483444
Pk_Ga0417193_01_rn04	Pkor	Pairwise with Bcer	0.0395518
Pk_Ga0417193_01_rn05	Pkor	Pairwise with Bcer	-0.297794658
Pk_Ga0417193_01_rn06	Pkor	Pairwise with Bcer	0.057270102
Pk_Ga0417193_01_rn07	Pkor	Pairwise with Bcer	-0.216375973
Pk_Ga0417193_01_rn08	Pkor	Pairwise with Bcer	-0.001469115
Pk_Ga0417193_01_rn09	Pkor	Pairwise with Bcer	-0.260811751
Pk_Ga0417193_01_rn10	Pkor	Pairwise with Bcer	0.373665702
Pk_Ga0417193_01_rn11	Pkor	Pairwise with Bcer	0.028826726
Pk_Ga0417193_01_rn12	Pkor	Pairwise with Bcer	0.001469115
Pk_Ga0417193_01_rn13	Pkor	Pairwise with Bcer	0.233825779
Pk_Ga0417193_01_rn14	Pkor	Pairwise with Bcer	-0.055039481
Pk_Ga0417193_01_rn15	Pkor	Pairwise with Bcer	0.016350901
Pk_Ga0417193_01_rn16	Pkor	Pairwise with Bcer	0.781480119
Pk_Ga0417193_01_rn17	Pkor	Pairwise with Bcer	0.026427627
Pk_Ga0417193_01_rn18	Pkor	Pairwise with Bcer	0.101022046
Pk_Ga0417193_01_rn19	Pkor	Pairwise with Bcer	-0.67008098
Pk_Ga0417193_01_rn20	Pkor	Pairwise with Bcer	0.02377424
Pk_Ga0417193_01_rn21	Pkor	Pairwise with Bcer	-0.183563106
Pk_Ga0417193_01_rn22	Pkor	Pairwise with Bcer	0.0437478
Pk_Ga0417193_01_rn23	Pkor	Pairwise with Bcer	-0.663674643
Pk_Ga0417193_01_rn24	Pkor	Pairwise with Bcer	-0.240718366
